huidige plaatsnaam	standplaats	ngraad	nminuut	nseconde	nnr	ograad	ominuut	oseconde	onr	gid	nr	volgnr
Hettenheuvel	Hettenheuvel (signal au)	51	55	17	4085	3	54	0	5721	48	48	51
Hoorn	Hoorn (clocher de la gr. Eglise)	52	38	27	6688	2	43	29	2286	54	74	57
Imbosch	Imbosch (signal de l')	52	2	14	4669	3	39	34	7071	57	47	60
Jever	Jever (clocher du chateau)	53	34	23	4326	5	34	10	3951	58	111	61
Bergen op Zoom	Bergen-op-Zoom	51	29	41	31	1	57	9	1300	15	15	15
	Biesselt (moulin)	51	45	55	6558	3	34	3	9419	16	46	16
Blokzijl	Blokzyl	52	43	39	9313	3	37	34	8121	17	67	17
Den Bosch	Bois le duc (clocher de la gr. Eglise)	51	41	18	931	2	58	22	4286	19	30	19
Brielle	Brielle (la)	51	54	10	8604	1	49	36	2216	22	17	22
Meppel	Meppel	52	41	52	7652	3	51	19	6245	70	66	71
Midsland	Midsland	53	23	1	7952	2	36	59	5948	72	95	73
Leer	Leer (clocher neuf)	53	13	46	4099	5	6	58	2490	63	115	64
Lemelerberg	Lemelerberg (signal du)	52	28	24	7536	4	4	23	7592	66	51	67
Kampen	Campen (clocher neuf)	52	33	34	8200	3	34	53	8695	59	52	24
Coevorden	Coeverden	52	39	40	2405	4	24	20	3170	60	63	25
